processo,conjunto,codigo,descricao,materia_prima,comprimento,largura,quantidade,etapa_seguinte,carreta,qt_conjunto,codigo_pintura,descricao_pintura,conjunto_desc
Caçamba,032360,022263,COMPLEM. TRANSV. INTERM. CENTRAL - CAÇAMBA GRAN/FORR (M12) CBH,"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,"CBH 5,0 - U.G"
Cilindro,034550,034946,BUCHA DO PISTÃO [PISTÃO DO CILINDRO - CBH/CBHM],110012 - ACO LAMINADO RED 2.1/2    1045,60.0,,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,034946,BUCHA DO PISTÃO [PISTÃO DO CILINDRO - CBH/CBHM],110012 - ACO LAMINADO RED 2.1/2    1045,60.0,,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,034881,CABEÇA DO PISTÃO [CBHM5000/6000],110139 - ACO LAMINADO RED 4          1045,45.0,,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,034881,CABEÇA DO PISTÃO [CBHM5000/6000],110139 - ACO LAMINADO RED 4          1045,45.0,,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,034546,FECHAMENTO GUIA DO CILINDRO [CBH/CBHM],110516 - ACO LAMINADO RED 4.1/2    1045,61.0,,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,034546,FECHAMENTO GUIA DO CILINDRO [CBH/CBHM],110516 - ACO LAMINADO RED 4.1/2    1045,61.0,,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,468897,FECHAM CILINDRO           CBHM,110735 - ACO LAMINADO RED 4.1/2    1020,18.0,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,468897,FECHAM CILINDRO           CBHM,110735 - ACO LAMINADO RED 4.1/2    1020,18.0,,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,034790,"TERMINAL MACHO JIC 3/4"" [TUBOS HIDRÁULICOS - CBH/CBHM]","112434 - ACO TREF. RED. SAE-1020 - 3/4""",,,2.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,034790,"TERMINAL MACHO JIC 3/4"" [TUBOS HIDRÁULICOS - CBH/CBHM]","112434 - ACO TREF. RED. SAE-1020 - 3/4""",,,2.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,496923,TUBO DA CAMISA DO CILINDRO [CILINDRO HIDRAULICO - CBH/CBHM],"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS",300.0,17.2,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,496923,TUBO DA CAMISA DO CILINDRO [CILINDRO HIDRAULICO - CBH/CBHM],"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS",300.0,17.2,1.0,S Estamparia,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,034945,TUBO DA CONEXÃO MENOR [CAMISA DO CILINDRO - CBH/CBHM],"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS",35.0,,1.0,S Mont Sistemas Carretas,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,034945,TUBO DA CONEXÃO MENOR [CAMISA DO CILINDRO - CBH/CBHM],"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS",35.0,,1.0,S Mont Sistemas Carretas,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,496935,ORELHA DO CILINDRO [CAMISA DO CILINDRO - CBH/CBHM],"120376 - CHAPA GQ 1"" (25,4) 1010/1020",90.0,87.0,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Cilindro,034550,496935,ORELHA DO CILINDRO [CAMISA DO CILINDRO - CBH/CBHM],"120376 - CHAPA GQ 1"" (25,4) 1010/1020",90.0,87.0,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,CILINDRO 5000
Fueiro,032363,032365,CORPO [SUPORTE DA TAMPA - CBH UG M21],126214 - AÇO CHATO LAM 1/2  X 3.1/2  1020,220.0,,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,FUEIRINHO LD M21
Fueiro,032363,028766,DOBRADIÇA [FUEIRO - CBH M21],"120157 - CHAPA GQ   3/8 (9,53)     1010",129.0,45.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,FUEIRINHO LD M21
Fueiro,032364,032365,CORPO [SUPORTE DA TAMPA - CBH UG M21],126214 - AÇO CHATO LAM 1/2  X 3.1/2  1020,220.0,,1.0,S Usinagem,"CBH3,5 UG CS RS M21",1,,,FUEIRINHO LE M21
Fueiro,032364,028766,DOBRADIÇA [FUEIRO - CBH M21],"120157 - CHAPA GQ   3/8 (9,53)     1010",129.0,45.0,2.0,Sem Processo,"CBH3,5 UG CS RS M21",1,,,FUEIRINHO LE M21
